,bus,PlantCode,GenID,Census Tract,Lat,Lon
0,745,34,1P,22013,39.134259,-120.953341
1,1804,151,1,2002,37.62936,-120.93139
2,1804,151,2,2002,37.62936,-120.93139
3,1964,161,1,2901,37.611461,-120.594678
4,1964,161,2,2901,37.611461,-120.594678
5,1964,161,3,2901,37.611461,-120.594678
6,1360,162,1,2901,37.621536,-120.746247
7,1360,162,2,2901,37.621536,-120.746247
8,1745,180,1,12603,40.45193,-121.86215
9,744,214,1,22013,39.215979,-120.80355
10,1587,215,1,121,38.071944,-120.539444
11,8022,219,1,400,40.007445,-121.249438
12,2220,220,H1,400,39.91062,-121.327692
13,2220,220,H2,400,39.91062,-121.327692
14,1748,221,1,502,40.175656,-121.190663
15,8542,222,1,400,40.085476,-121.148241
16,8542,222,2,400,40.085476,-121.148241
17,8542,222,3,400,40.085476,-121.148241
18,8542,223,4,400,40.085997,-121.149373
19,8542,223,5,400,40.085997,-121.149373
20,1743,227,1,12603,40.404645,-122.121904
21,1735,229,1,12604,40.570817,-122.02093
22,1735,229,2,12604,40.570817,-122.02093
23,8578,235,1,22013,39.256873,-120.767437
24,8578,235,2,22013,39.256873,-120.767437
25,8578,235,3,22013,39.256873,-120.767437
26,8578,235,4,22013,39.256873,-120.767437
27,744,237,1,22013,39.216985,-120.835587
28,106,238,1,31302,38.793574,-120.619152
29,106,238,2,31302,38.793574,-120.619152
30,7778,239,1,500,38.330985,-120.669901
31,7778,239,2,500,38.330985,-120.669901
32,7778,239,3,500,38.330985,-120.669901
33,1634,240,H1,6408,36.927424,-119.02025
34,1634,240,H2,6408,36.927424,-119.02025
35,749,241,1,21802,38.956985,-121.041932
36,339,242,1,502,40.268712,-121.089479
37,339,242,2,502,40.268712,-121.089479
38,1286,243,1,12702,40.929297,-121.544462
39,8427,244,1,12702,40.960675,-121.548657
40,170,246,IC1,10702,40.7415,-124.2103
41,170,246,IC10,10702,40.7415,-124.2103
42,170,246,IC2,10702,40.7415,-124.2103
43,170,246,IC3,10702,40.7415,-124.2103
44,170,246,IC4,10702,40.7415,-124.2103
45,170,246,IC5,10702,40.7415,-124.2103
46,170,246,IC6,10702,40.7415,-124.2103
47,170,246,IC7,10702,40.7415,-124.2103
48,170,246,IC8,10702,40.7415,-124.2103
49,170,246,IC9,10702,40.7415,-124.2103
50,1746,248,1,100,40.400988,-121.965502
51,1728,249,1,12606,40.992295,-121.975182
52,1728,249,2,12606,40.992295,-121.975182
53,1643,250,H1,6405,37.092486,-119.552826
54,1643,250,H3,6405,37.092486,-119.552826
55,1734,253,1,12605,40.677827,-121.873253
56,615,258,1,2500,37.52301,-120.329905
57,7971,260,CT1A,14601,36.804837,-121.782241
58,7971,260,CT1B,14601,36.804837,-121.782241
59,7971,260,CT2A,14601,36.804837,-121.782241
60,7971,260,CT2B,14601,36.804837,-121.782241
61,7971,260,ST1,14601,36.804837,-121.782241
62,7971,260,ST2,14601,36.804837,-121.782241
63,60,261,1,122,38.147093,-120.446396
64,1448,264,1,2202,38.032103,-120.326537
65,8553,265,H1,12702,40.99084,-121.498243
66,8553,265,H2,12702,40.99084,-121.498243
67,1727,267,1,12606,40.986361,-121.84944
68,1727,267,2,12606,40.986361,-121.84944
69,1730,268,H1,12606,40.986197,-121.977594
70,1730,268,H2,12606,40.986197,-121.977594
71,1730,268,H3,12606,40.986197,-121.977594
72,1730,268,H4,12606,40.986197,-121.977594
73,1729,269,H1,12606,40.922568,-121.992906
74,1729,269,H2,12606,40.922568,-121.992906
75,1501,274,1,10802,39.361786,-123.127934
76,1501,274,2,10802,39.361786,-123.127934
77,1501,274,3,10802,39.361786,-123.127934
78,2220,275,H1,400,39.90521,-121.345226
79,2220,275,H2,400,39.90521,-121.345226
80,32,279,1,102,38.497914,-120.21811
81,32,279,2,102,38.497914,-120.21811
82,1745,280,1,100,40.395396,-121.879186
83,746,281,1,900,39.324613,-120.644807
84,746,282,1,900,39.324592,-120.645375
85,746,283,1,900,39.337679,-120.635467
86,1502,284,1,3103,38.18653,-120.11168
87,1890,285,HC1,2102,38.139048,-120.370325
88,8623,287,H1,102,38.449291,-120.492645
89,8623,287,H2,102,38.449291,-120.492645
90,1892,289,1,2701,36.163076,-118.707104
91,1892,289,2,2701,36.163076,-118.707104
92,1745,290,1,12603,40.459111,-121.86708
93,1958,291,1,402,38.420898,-120.549572
94,1755,292,1,20501,38.889862,-121.098525
95,1755,292,2,20501,38.889862,-121.098525
96,1724,294,1,300,41.978914,-122.335317
97,1724,294,2,300,41.978914,-122.335317
98,8064,295,1,300,41.975716,-122.358127
99,8064,295,2,300,41.975716,-122.358127
100,8064,296,1,300,41.985605,-122.360455
101,8064,296,2,300,41.985605,-122.360455
102,8064,296,3,300,41.985605,-122.360455
103,1723,297,1,300,41.932981,-122.43678
104,1722,314,1,11903,32.673097,-115.392026
105,1722,314,2,11903,32.673097,-115.392026
106,8113,315,3,980007,33.7688,-118.1009
107,8113,315,4,980007,33.7688,-118.1009
108,8113,315,5,980007,33.7688,-118.1009
109,1632,318,3,6409,37.2,-119.3069
110,1632,318,4,6409,37.2,-119.3069
111,1632,318,5,6409,37.2,-119.3069
112,1632,318,6,6409,37.2,-119.3069
113,1644,319,1,6409,37.148517,-119.386623
114,1644,319,2,6409,37.148517,-119.386623
115,1644,319,3,6409,37.148517,-119.386623
116,1644,319,4,6409,37.148517,-119.386623
117,1644,319,5,6409,37.148517,-119.386623
118,1635,321,1,6409,37.2096,-119.3289
119,1635,321,2,6409,37.2096,-119.3289
120,1632,322,1,6409,37.200062,-119.30681
121,1632,322,2,6409,37.200062,-119.30681
122,1631,323,1,200,37.273581,-118.573339
123,1631,323,2,200,37.273581,-118.573339
124,1631,323,3,200,37.273581,-118.573339
125,8381,324,1,200,37.301962,-118.531957
126,8381,324,2,200,37.301962,-118.531957
127,8381,324,3,200,37.301962,-118.531957
128,1629,325,1,200,37.323035,-118.501714
129,1629,325,2,200,37.323035,-118.501714
130,1629,325,3,200,37.323035,-118.501714
131,1629,325,4,200,37.323035,-118.501714
132,1629,325,5,200,37.323035,-118.501714
133,2312,326,1,200,37.3344,-118.4797
134,2312,326,2,200,37.3344,-118.4797
135,2247,327,1,200,37.3499,-118.4628
136,285,328,1,5206,35.588069,-118.524804
137,285,328,2,5206,35.588069,-118.524804
138,285,328,3,5206,35.588069,-118.524804
139,990,332,1,2706,34.155162,-117.397119
140,990,332,2,2706,34.155162,-117.397119
141,8343,335,2,99220,33.6439,-117.9792
142,2313,337,1,101,36.465066,-118.862023
143,1663,339,1,5207,35.776185,-118.436233
144,1663,339,2,5207,35.776185,-118.436233
145,1662,340,1,5206,35.460303,-118.77959
146,1662,340,2,5206,35.460303,-118.77959
147,1662,340,3,5206,35.460303,-118.77959
148,1662,340,4,5206,35.460303,-118.77959
149,8347,341,CT1,980033,33.7641,-118.2248
150,8347,341,CT2,980033,33.7641,-118.2248
151,8347,341,CT3,980033,33.7641,-118.2248
152,8347,341,CT4,980033,33.7641,-118.2248
153,1636,344,1,102,37.220302,-119.337983
154,1636,344,2,102,37.220302,-119.337983
155,1483,350,1,4715,34.1292,-119.1689
156,1483,350,2,4715,34.1292,-119.1689
157,1602,353,1,102,37.944237,-119.2161
158,7747,356,5,621204,33.8504,-118.395
159,7747,356,6,621204,33.8504,-118.395
160,7747,356,8,621204,33.8504,-118.395
161,2361,357,1,101,37.766954,-119.123284
162,2361,357,2,101,37.766954,-119.123284
163,7808,358,MV3A,7800,34.0818,-117.2418
164,7808,358,MV3B,7800,34.0818,-117.2418
165,7808,358,MV3C,7800,34.0818,-117.2418
166,7808,358,MV4A,7800,34.0818,-117.2418
167,7808,358,MV4B,7800,34.0818,-117.2418
168,7808,358,MV4C,7800,34.0818,-117.2418
169,1842,361,1,11102,34.14522,-117.058481
